epoch,loss,lr,val_loss
0,0.0005751025164499879,1e-04,0.00018224857922177762
1,0.0001450994168408215,1e-04,0.0001357906439807266
2,0.00010250428749714047,1e-04,0.00010906578972935677
3,8.87784335645847e-05,1e-04,8.385417459066957e-05
4,8.145034371409565e-05,1e-04,7.802030449965969e-05
5,7.367014040937647e-05,1e-04,8.314537990372628e-05
6,6.558325549121946e-05,1e-04,7.299818389583379e-05
7,6.169728294480592e-05,1e-04,8.590680954512209e-05
8,5.671067992807366e-05,1e-04,6.728174776071683e-05
9,5.3270970965968445e-05,1e-04,6.619979103561491e-05
10,4.717839328804985e-05,1e-04,4.736611299449578e-05
11,4.787489160662517e-05,1e-04,5.017458533984609e-05
12,4.705178434960544e-05,1e-04,4.3721294787246734e-05
13,4.4076750782551244e-05,1e-04,3.963660856243223e-05
14,4.5218734157970175e-05,1e-04,3.4391679946566e-05
15,4.134088885621168e-05,1e-04,3.955173451686278e-05
16,4.208491736790165e-05,1e-04,4.006499511888251e-05
17,3.797786121140234e-05,1e-04,3.433935853536241e-05
18,3.962162372772582e-05,1e-04,4.3103875214001164e-05
19,3.777865640586242e-05,1e-04,3.9049053157214075e-05
20,3.655396358226426e-05,5e-05,3.020694202859886e-05
21,3.490177550702356e-05,5e-05,3.620188363129273e-05
22,3.4013566619250923e-05,5e-05,3.777058009291068e-05
23,3.513963019941002e-05,5e-05,2.959952144010458e-05
24,3.452686723903753e-05,5e-05,3.890630614478141e-05
25,3.4879751183325425e-05,5e-05,3.140919216093607e-05
26,3.5606248275144026e-05,5e-05,3.618262053350918e-05
27,3.62856917490717e-05,2.5e-05,2.6864106985158287e-05
28,3.523792838677764e-05,2.5e-05,3.17871272272896e-05
29,3.328403545310721e-05,2.5e-05,3.0376691938727163e-05
30,3.343118805787526e-05,2.5e-05,3.250009103794582e-05
31,3.547941741999239e-05,2.5e-05,3.4017368307104334e-05
32,3.442736488068476e-05,2.5e-05,3.895224290317856e-05
33,3.418651976971887e-05,2.5e-05,2.9072278266539797e-05
34,3.4338900150032714e-05,1.25e-05,2.8721889975713566e-05
35,3.412142541492358e-05,1.25e-05,3.054651460843161e-05
36,3.329437822685577e-05,1.25e-05,3.521837788866833e-05
37,3.549275788827799e-05,1.25e-05,2.1309675503289327e-05
38,3.6219338653609157e-05,1.25e-05,2.632026189530734e-05
39,3.4420183510519564e-05,1.25e-05,3.707038194988854e-05
40,3.157441096846014e-05,1.25e-05,2.7776541173807345e-05
41,3.4786848118528724e-05,1.25e-05,3.626805846579373e-05
42,3.1244857382262126e-05,1.25e-05,3.148492760374211e-05
43,3.3102369343396276e-05,6.25e-06,3.5002038202947006e-05
44,3.106885196757503e-05,6.25e-06,3.895455665769987e-05
45,3.523015766404569e-05,6.25e-06,2.855615457519889e-05
46,3.280187593190931e-05,6.25e-06,3.4972079447470605e-05
47,3.19191713060718e-05,6.25e-06,3.280596138210967e-05
48,3.488817310426384e-05,6.25e-06,3.528570960042998e-05
49,3.180953717674129e-05,6.25e-06,2.7833308195113204e-05
50,3.135624501737766e-05,3.125e-06,3.21147745125927e-05
51,3.196086981915869e-05,3.125e-06,2.7389247406972572e-05
52,3.239364014007151e-05,3.125e-06,2.8249594834051095e-05
53,3.1039573514135554e-05,3.125e-06,3.104059214820154e-05
54,3.293151530670002e-05,3.125e-06,3.4246731956955045e-05
55,3.276693314546719e-05,3.125e-06,2.9896555133746006e-05
56,3.055367051274516e-05,3.125e-06,3.088285666308366e-05
57,3.236314296373166e-05,1.5625e-06,3.5160803236067295e-05
